Province/State,Country,Region,Lat,Long,ConfirmedCases,RecoveredCases,Deaths
,Afghanistan,South Asia,33.93911,67.709953,35727,23924,1190
,Albania,Europe & Central Asia,41.1533,20.1683,4358,2463,120
,Algeria,Middle East & North Africa,28.0339,1.6596,24872,16983,1111
,Andorra,Europe & Central Asia,42.5063,1.5218,889,803,52
,Angola,Sub-Saharan Africa,-11.2027,17.8739,812,221,33
,Antigua and Barbuda,Latin America & Caribbean,17.0608,-61.7964,76,58,3
,Argentina,Latin America & Caribbean,-38.4161,-63.6167,141900,60531,2588
,Armenia,Europe & Central Asia,40.0691,45.0382,35693,24766,678
Australian Capital Territory,Australia,East Asia & Pacific,-35.4735,149.0124,113,109,3
New South Wales,Australia,East Asia & Pacific,-33.8688,151.2093,3633,2988,49
Northern Territory,Australia,East Asia & Pacific,-12.4634,130.8456,31,30,1
Queensland,Australia,East Asia & Pacific,-27.4698,153.0251,1074,1063,6
South Australia,Australia,East Asia & Pacific,-34.9285,138.6007,446,441,4
Tasmania,Australia,East Asia & Pacific,-42.8821,147.3272,229,215,13
Victoria,Australia,East Asia & Pacific,-37.8136,144.9631,7125,3298,49
Western Australia,Australia,East Asia & Pacific,-31.9505,115.8605,651,626,9
,Austria,Europe & Central Asia,47.5162,14.5501,19929,17849,711
,Azerbaijan,Europe & Central Asia,40.1431,47.5769,28633,20443,385
,Bahamas,Latin America & Caribbean,25.025885,-78.035889,219,91,11
,Bahrain,Middle East & North Africa,26.0275,50.55,37637,33894,130
,Bangladesh,South Asia,23.685,90.3563,213254,117202,2751
,Barbados,Latin America & Caribbean,13.1939,-59.5432,106,94,7
,Belarus,Europe & Central Asia,53.7098,27.9534,66521,59061,513
,Belgium,Europe & Central Asia,50.8333,4.469936,64627,17347,9808
,Benin,Sub-Saharan Africa,9.3077,2.3158,1690,782,34
,Bhutan,South Asia,27.5142,90.4336,92,83,1
,Bolivia,Latin America & Caribbean,-16.2902,-63.5887,64135,19721,2328
,Bosnia and Herzegovina,Europe & Central Asia,43.9159,17.6791,9115,4159,268
,Brazil,Latin America & Caribbean,-14.235,-51.9253,2227514,1591975,82771
,Brunei,East Asia & Pacific,4.5353,114.7277,141,138,3
,Bulgaria,Europe & Central Asia,42.7339,25.4858,9584,4643,321
,Burkina Faso,Sub-Saharan Africa,12.2383,-1.5616,1066,917,53
,Cabo Verde,Sub-Saharan Africa,16.5388,-23.0418,2154,1132,21
