Time,Brazil,India,Russia,SouthAfrica,US
1/22/2020,0,0,0,0,1
1/23/2020,0,0,0,0,1
1/24/2020,0,0,0,0,2
1/25/2020,0,0,0,0,2
1/26/2020,0,0,0,0,5
1/27/2020,0,0,0,0,5
1/28/2020,0,0,0,0,5
1/29/2020,0,0,0,0,5
1/30/2020,0,1,0,0,5
1/31/2020,0,1,2,0,7
2/1/2020,0,1,2,0,8
2/2/2020,0,2,2,0,8
2/3/2020,0,3,2,0,11
2/4/2020,0,3,2,0,11
2/5/2020,0,3,2,0,11
2/6/2020,0,3,2,0,11
2/7/2020,0,3,2,0,11
2/8/2020,0,3,2,0,11
2/9/2020,0,3,2,0,11
2/10/2020,0,3,2,0,11
2/11/2020,0,3,2,0,12
2/12/2020,0,3,2,0,12
2/13/2020,0,3,2,0,13
2/14/2020,0,3,2,0,13
2/15/2020,0,3,2,0,13
2/16/2020,0,3,2,0,13
2/17/2020,0,3,2,0,13
2/18/2020,0,3,2,0,13
2/19/2020,0,3,2,0,13
2/20/2020,0,3,2,0,13
2/21/2020,0,3,2,0,15
2/22/2020,0,3,2,0,15
2/23/2020,0,3,2,0,15
2/24/2020,0,3,2,0,15
2/25/2020,0,3,2,0,15
2/26/2020,1,3,2,0,15
2/27/2020,1,3,2,0,16
2/28/2020,1,3,2,0,16
2/29/2020,2,3,2,0,24
3/1/2020,2,3,2,0,30
3/2/2020,2,5,3,0,53
3/3/2020,2,5,3,0,73
3/4/2020,4,28,3,0,104
3/5/2020,4,30,4,1,174
3/6/2020,13,31,13,1,222
3/7/2020,13,34,13,1,337
3/8/2020,20,39,17,3,451
3/9/2020,25,43,17,3,519
3/10/2020,31,56,20,7,711
3/11/2020,38,62,20,13,1109
3/12/2020,52,73,28,17,1561
3/13/2020,151,82,45,24,2157
3/14/2020,151,102,59,38,2870
3/15/2020,162,113,63,51,2968
3/16/2020,200,119,90,62,4360
3/17/2020,321,142,114,62,6141
3/18/2020,372,156,147,116,8917
3/19/2020,621,194,199,150,14157
3/20/2020,793,244,253,202,19479
3/21/2020,1021,330,306,240,25825
3/22/2020,1546,396,367,274,33761
3/23/2020,1924,499,438,402,43850
3/24/2020,2247,536,495,554,54112
3/25/2020,2554,657,658,709,66055
3/26/2020,2985,727,840,927,84091
3/27/2020,3417,887,1036,1170,102276
3/28/2020,3904,987,1264,1187,122069
3/29/2020,4256,1024,1534,1280,141205
3/30/2020,4579,1251,1836,1326,162707
3/31/2020,5717,1397,2337,1353,188724
4/1/2020,6836,1998,2777,1380,214205
4/2/2020,8044,2543,3548,1462,244610
4/3/2020,9056,2567,4149,1505,276547
4/4/2020,10360,3082,4731,1585,309699
4/5/2020,11130,3588,5389,1655,337573
4/6/2020,12161,4778,6343,1686,367215
4/7/2020,14034,5311,7497,1749,397992
4/8/2020,16170,5916,8672,1845,429686
4/9/2020,18092,6725,10131,1934,464442
4/10/2020,19638,7598,11917,2003,497943
4/11/2020,20727,8446,13584,2028,527969
4/12/2020,22192,9205,15770,2173,556522
4/13/2020,23430,10453,18328,2272,581813
4/14/2020,25262,11487,21102,2415,608878
4/15/2020,28320,12322,24490,2506,637974
4/16/2020,30425,13430,27938,2605,669272
4/17/2020,33682,14352,32008,2783,701996
4/18/2020,36658,15722,36793,3034,730337
4/19/2020,38654,17615,42853,3158,756375
4/20/2020,40743,18539,47121,3300,783716
4/21/2020,43079,20080,52763,3465,809318
4/22/2020,45757,21370,57999,3635,837422
4/23/2020,50036,23077,62773,3953,871617
4/24/2020,54043,24530,68622,4220,907908
4/25/2020,59324,26283,74588,4361,940829
4/26/2020,63100,27890,80949,4546,968518
4/27/2020,67446,29451,87147,4793,990983
4/28/2020,73235,31324,93558,4996,1015518
4/29/2020,79685,33062,99399,5350,1043038
4/30/2020,87187,34863,106498,5647,1072667
5/1/2020,92202,37257,114431,5951,1106829
5/2/2020,97100,39699,124054,6336,1136024
5/3/2020,101826,42505,134687,6783,1161611
5/4/2020,108620,46437,145268,7220,1184086
5/5/2020,115455,49400,155370,7572,1208271
5/6/2020,126611,52987,165929,7808,1233527
5/7/2020,135773,56351,177160,8232,1261409
5/8/2020,146894,59695,187859,8895,1288587
5/9/2020,156061,62808,198676,9420,1314320
5/10/2020,162699,67161,209688,10015,1334084
5/11/2020,169594,70768,221344,10652,1352962
5/12/2020,178214,74292,232243,11350,1375152
5/13/2020,190137,78055,242271,12074,1396110
5/14/2020,203165,81997,252245,12739,1423727
5/15/2020,220291,85784,262843,13524,1449027
5/16/2020,233511,90648,272043,14355,1474128
5/17/2020,241080,95698,281752,15515,1493132
5/18/2020,255368,100328,290678,16433,1514901
5/19/2020,271885,106475,299941,17200,1535350
5/20/2020,291579,112028,308705,18003,1559157
5/21/2020,310087,118226,317554,19137,1584512
5/22/2020,330890,124794,326448,20125,1608653
5/23/2020,347398,131423,335882,21343,1630476
5/24/2020,363211,138536,344481,22583,1651289
5/25/2020,374898,144950,353427,23615,1670280
5/26/2020,391222,150793,362342,24264,1689163
5/27/2020,411821,158086,370680,25937,1707445
5/28/2020,438238,165386,379051,27403,1730260
5/29/2020,465166,173491,387623,29240,1754764
5/30/2020,498440,181827,396575,30967,1779214
5/31/2020,514849,190609,405843,32683,1799124
6/1/2020,526447,198370,414328,34357,1816479
6/2/2020,555383,207191,423186,35812,1837374
6/3/2020,584016,216824,431715,37525,1857332
6/4/2020,614941,226713,440538,40792,1878683
6/5/2020,645771,236184,449256,43434,1903907
6/6/2020,672846,246622,458102,45973,1926639
6/7/2020,691758,257486,467073,48285,1944370
6/8/2020,707412,265928,476043,50879,1961785
6/9/2020,739503,276146,484630,52991,1979912
6/10/2020,772416,286605,493023,55421,2000706
6/11/2020,802828,297535,501800,58568,2023656
6/12/2020,828810,308993,510761,61927,2048986
6/13/2020,850514,320922,519458,65736,2074542
6/14/2020,867624,332424,528267,70038,2094366
6/15/2020,888271,343091,536484,73533,2114026
6/16/2020,923189,354065,544725,76334,2137731
6/17/2020,955377,366946,552549,80412,2163290
6/18/2020,978142,380532,560321,83890,2191099
6/19/2020,1032913,395048,568292,87715,2222579
6/20/2020,1067579,410451,576162,92681,2255328
6/21/2020,1083341,425282,583879,97302,2281767
6/22/2020,1106470,440215,591465,101590,2312303
6/23/2020,1145906,456183,598878,106108,2347491
6/24/2020,1188631,473105,606043,111796,2382426
6/25/2020,1228114,490401,613148,118375,2422299
6/26/2020,1274974,508953,619936,124590,2467554
6/27/2020,1313667,528859,626779,131800,2510259
6/28/2020,1344143,548318,633563,138134,2549864
6/29/2020,1368195,566840,640246,144264,2590668
6/30/2020,1402041,585481,646929,151209,2636414
7/1/2020,1448753,604641,653479,159333,2687588
7/2/2020,1496858,625544,660231,168061,2742049
7/3/2020,1539081,648315,666941,177124,2795361
7/4/2020,1577004,673165,673564,187977,2841241
7/5/2020,1603055,697413,680283,196750,2891124
7/6/2020,1623284,719664,686852,205721,2936077
7/7/2020,1668589,742417,693215,215855,2996098
7/8/2020,1713160,767296,699749,224665,3054699
7/9/2020,1755779,793802,706240,238339,3117946
7/10/2020,1800827,820916,712863,250687,3185737
7/11/2020,1839850,849522,719449,264184,3245925
7/12/2020,1864681,878254,726036,276242,3304942
7/13/2020,1884967,906752,732547,287796,3364157
7/14/2020,1926824,936181,738787,298292,3431574
7/15/2020,1966748,968857,745197,311049,3498902
7/16/2020,2012151,1003832,751612,324221,3576157
7/17/2020,2046328,1039084,758001,337594,3647715
7/18/2020,2074860,1077781,764215,350879,3711413
7/19/2020,2098389,1118206,770311,364328,3773260
7/20/2020,2118646,1155338,776212,373628,3834677
7/21/2020,2159654,1193078,782040,381798,3899211
7/22/2020,2227514,1238798,787890,394948,3970085
