Time,Brazil,India,Russia,SouthAfrica,US
1/22/2020,0,0,0,0,0
1/23/2020,0,0,0,0,0
1/24/2020,0,0,0,0,0
1/25/2020,0,0,0,0,0
1/26/2020,0,0,0,0,0
1/27/2020,0,0,0,0,0
1/28/2020,0,0,0,0,0
1/29/2020,0,0,0,0,0
1/30/2020,0,0,0,0,0
1/31/2020,0,0,0,0,0
2/1/2020,0,0,0,0,0
2/2/2020,0,0,0,0,0
2/3/2020,0,0,0,0,0
2/4/2020,0,0,0,0,0
2/5/2020,0,0,0,0,0
2/6/2020,0,0,0,0,0
2/7/2020,0,0,0,0,0
2/8/2020,0,0,0,0,0
2/9/2020,0,0,0,0,0
2/10/2020,0,0,0,0,0
2/11/2020,0,0,0,0,0
2/12/2020,0,0,0,0,0
2/13/2020,0,0,0,0,0
2/14/2020,0,0,0,0,0
2/15/2020,0,0,0,0,0
2/16/2020,0,0,0,0,0
2/17/2020,0,0,0,0,0
2/18/2020,0,0,0,0,0
2/19/2020,0,0,0,0,0
2/20/2020,0,0,0,0,0
2/21/2020,0,0,0,0,0
2/22/2020,0,0,0,0,0
2/23/2020,0,0,0,0,0
2/24/2020,0,0,0,0,0
2/25/2020,0,0,0,0,0
2/26/2020,0,0,0,0,0
2/27/2020,0,0,0,0,0
2/28/2020,0,0,0,0,0
2/29/2020,0,0,0,0,1
3/1/2020,0,0,0,0,1
3/2/2020,0,0,0,0,6
3/3/2020,0,0,0,0,7
3/4/2020,0,0,0,0,11
3/5/2020,0,0,0,0,12
3/6/2020,0,0,0,0,14
3/7/2020,0,0,0,0,17
3/8/2020,0,0,0,0,21
3/9/2020,0,0,0,0,22
3/10/2020,0,0,0,0,28
3/11/2020,0,1,0,0,33
3/12/2020,0,1,0,0,43
3/13/2020,0,2,0,0,52
3/14/2020,0,2,0,0,58
3/15/2020,0,2,0,0,70
3/16/2020,0,2,0,0,97
3/17/2020,1,3,0,0,131
3/18/2020,3,3,0,0,188
3/19/2020,6,4,1,0,265
3/20/2020,11,5,1,0,362
3/21/2020,15,4,1,0,456
3/22/2020,25,7,1,0,601
3/23/2020,34,10,1,0,784
3/24/2020,46,10,1,0,1021
3/25/2020,59,12,3,0,1333
3/26/2020,77,20,3,0,1746
3/27/2020,92,20,4,1,2300
3/28/2020,111,24,4,1,2934
3/29/2020,136,27,8,2,3561
3/30/2020,159,32,9,3,4381
3/31/2020,201,35,17,5,5605
4/1/2020,240,58,24,5,6846
4/2/2020,324,72,30,5,8432
4/3/2020,359,72,34,9,9747
4/4/2020,445,86,43,9,11031
4/5/2020,486,99,45,11,12470
4/6/2020,564,136,47,12,14138
4/7/2020,686,150,58,13,16447
4/8/2020,819,178,63,18,18563
4/9/2020,950,226,76,18,20638
4/10/2020,1057,246,94,24,22731
4/11/2020,1124,288,106,25,24777
4/12/2020,1223,331,130,25,26548
4/13/2020,1328,358,148,27,28376
4/14/2020,1532,393,170,27,30780
4/15/2020,1736,405,198,34,33329
4/16/2020,1924,448,232,48,35442
4/17/2020,2141,486,273,50,38056
4/18/2020,2354,521,313,52,40442
4/19/2020,2462,559,361,54,41671
4/20/2020,2587,592,405,58,43466
4/21/2020,2741,645,456,58,45923
4/22/2020,2906,681,513,65,48312
4/23/2020,3331,721,555,75,50749
4/24/2020,3704,780,615,79,52867
4/25/2020,4057,825,681,86,54517
4/26/2020,4286,881,747,87,55810
4/27/2020,4603,939,794,90,57235
4/28/2020,5083,1008,867,93,59454
4/29/2020,5513,1079,972,103,61960
4/30/2020,6006,1154,1073,103,64256
5/1/2020,6412,1223,1169,116,66125
5/2/2020,6761,1323,1222,123,67681
5/3/2020,7051,1391,1280,131,68777
5/4/2020,7367,1566,1356,138,70086
5/5/2020,7938,1693,1451,148,72393
5/6/2020,8588,1785,1537,153,74851
5/7/2020,9190,1889,1625,161,76770
5/8/2020,10017,1985,1723,178,78497
5/9/2020,10656,2101,1827,186,79976
5/10/2020,11123,2212,1915,194,80855
5/11/2020,11653,2294,2009,206,81868
5/12/2020,12461,2415,2116,206,83483
5/13/2020,13240,2551,2212,219,85234
5/14/2020,13999,2649,2305,238,87008
5/15/2020,14962,2753,2418,247,88669
5/16/2020,15662,2871,2537,261,89892
5/17/2020,16118,3025,2631,264,90644
5/18/2020,16853,3156,2722,286,91414
5/19/2020,17983,3302,2837,312,92965
5/20/2020,18859,3434,2972,339,94533
5/21/2020,20047,3584,3099,369,95756
5/22/2020,21048,3726,3249,397,97025
5/23/2020,22013,3868,3388,407,98146
5/24/2020,22666,4024,3541,429,98754
5/25/2020,23473,4172,3633,481,99267
5/26/2020,24512,4344,3807,524,99952
5/27/2020,25598,4534,3968,552,101461
5/28/2020,26754,4711,4142,577,102643
5/29/2020,27878,4980,4374,611,103809
5/30/2020,28834,5185,4555,643,104778
5/31/2020,29314,5408,4693,683,105364
6/1/2020,29937,5608,4849,705,106136
6/2/2020,31199,5829,5031,755,107169
6/3/2020,32548,6088,5208,792,108159
6/4/2020,34021,6363,5376,848,109168
6/5/2020,35026,6649,5520,908,110138
6/6/2020,35930,6946,5717,952,110818
6/7/2020,36455,7207,5851,998,111269
6/8/2020,37134,7473,5963,1080,111774
6/9/2020,38406,7750,6134,1162,112714
6/10/2020,39680,8102,6350,1210,113631
6/11/2020,40919,8498,6522,1284,114512
6/12/2020,41828,8884,6705,1354,115334
6/13/2020,42720,9195,6819,1423,116084
6/14/2020,43332,9520,6938,1480,116382
6/15/2020,43959,9900,7081,1568,116773
6/16/2020,45241,11903,7274,1625,117612
6/17/2020,46510,12237,7468,1674,118363
6/18/2020,47748,12573,7650,1737,119067
6/19/2020,48954,12948,7831,1831,119739
6/20/2020,49976,13254,7992,1877,120349
6/21/2020,50591,13699,8101,1930,120604
6/22/2020,51271,14011,8196,1991,121010
6/23/2020,52645,14476,8349,2102,121847
6/24/2020,53830,14894,8503,2205,122604
6/25/2020,54971,15301,8594,2292,125026
6/26/2020,55961,15685,8770,2340,125631
6/27/2020,57070,16095,8958,2413,126120
6/28/2020,57622,16475,9060,2456,126361
6/29/2020,58314,16893,9152,2529,126711
6/30/2020,59594,17400,9306,2657,127432
7/1/2020,60632,17834,9521,2749,128105
7/2/2020,61884,18213,9668,2844,128803
7/3/2020,63174,18655,9844,2952,129442
7/4/2020,64265,19268,10011,3026,129689
7/5/2020,64867,19693,10145,3199,129960
7/6/2020,65487,20159,10280,3310,130285
7/7/2020,66741,20642,10478,3502,131480
7/8/2020,67964,21129,10650,3602,132300
7/9/2020,69184,21604,10826,3720,133290
7/10/2020,70398,22123,11000,3860,134101
7/11/2020,71469,22673,11188,3971,134777
7/12/2020,72100,23174,11318,4079,135205
7/13/2020,72833,23727,11422,4172,135566
7/14/2020,74133,24309,11597,4346,136466
7/15/2020,75366,24914,11753,4453,137415
7/16/2020,76688,25602,11920,4669,138358
7/17/2020,77851,26273,12106,4804,139266
7/18/2020,78772,26816,12228,4948,140119
7/19/2020,79488,27497,12323,5033,140534
7/20/2020,80120,28082,12408,5173,140913
7/21/2020,81487,28732,12561,5368,141995
7/22/2020,82771,29861,12726,5940,143190
