Time,Brazil,Germany,France,India,US
1/22/20,0,0,0,0,1
1/23/20,0,0,0,0,1
1/24/20,0,2,0,0,2
1/25/20,0,3,0,0,2
1/26/20,0,3,0,0,5
1/27/20,0,3,1,0,5
1/28/20,0,4,4,0,5
1/29/20,0,5,4,0,6
1/30/20,0,5,4,1,6
1/31/20,0,5,5,1,8
2/1/20,0,6,8,1,8
2/2/20,0,6,10,2,8
2/3/20,0,6,12,3,11
2/4/20,0,6,12,3,11
2/5/20,0,6,12,3,11
2/6/20,0,6,12,3,12
2/7/20,0,6,13,3,12
2/8/20,0,11,13,3,12
2/9/20,0,11,14,3,12
2/10/20,0,11,14,3,12
2/11/20,0,11,16,3,13
2/12/20,0,11,16,3,13
2/13/20,0,11,16,3,14
2/14/20,0,11,16,3,14
2/15/20,0,12,16,3,14
2/16/20,0,12,16,3,14
2/17/20,0,12,16,3,14
2/18/20,0,12,16,3,14
2/19/20,0,12,16,3,14
2/20/20,0,12,16,3,14
2/21/20,0,12,16,3,16
2/22/20,0,12,16,3,16
2/23/20,0,12,16,3,16
2/24/20,0,12,16,3,16
2/25/20,0,14,16,3,16
2/26/20,1,18,21,3,16
2/27/20,1,38,26,3,17
2/28/20,1,57,53,3,17
2/29/20,2,100,66,3,25
3/1/20,2,130,117,3,32
3/2/20,2,191,150,5,55
3/3/20,2,212,188,5,74
3/4/20,4,288,262,28,107
3/5/20,4,426,400,30,184
3/6/20,13,616,639,31,237
3/7/20,13,948,795,34,403
3/8/20,20,1125,902,39,519
3/9/20,25,1411,1139,43,594
3/10/20,31,1783,1296,56,782
3/11/20,38,2293,1567,62,1147
3/12/20,52,2293,2369,73,1586
3/13/20,151,3681,3062,82,2219
3/14/20,151,4496,3795,102,2978
3/15/20,162,4532,4838,113,3212
3/16/20,200,6683,6012,119,4679
3/17/20,321,7715,7156,142,6512
3/18/20,372,9124,8198,156,9169
3/19/20,621,10970,10999,194,13663
3/20/20,793,12758,13957,244,20030
3/21/20,1021,14463,16662,330,26025
