Time,Brazil,India,Mexico,Russia,US
1/22/20,0,0,0,0,0
1/23/20,0,0,0,0,0
1/24/20,0,0,0,0,0
1/25/20,0,0,0,0,0
1/26/20,0,0,0,0,0
1/27/20,0,0,0,0,0
1/28/20,0,0,0,0,0
1/29/20,0,0,0,0,0
1/30/20,0,0,0,0,0
1/31/20,0,0,0,0,0
2/1/20,0,0,0,0,0
2/2/20,0,0,0,0,0
2/3/20,0,0,0,0,0
2/4/20,0,0,0,0,0
2/5/20,0,0,0,0,0
2/6/20,0,0,0,0,0
2/7/20,0,0,0,0,0
2/8/20,0,0,0,0,0
2/9/20,0,0,0,0,0
2/10/20,0,0,0,0,0
2/11/20,0,0,0,0,0
2/12/20,0,0,0,0,0
2/13/20,0,0,0,0,0
2/14/20,0,0,0,0,0
2/15/20,0,0,0,0,0
2/16/20,0,0,0,0,0
2/17/20,0,0,0,0,0
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,0,0,0,0,0
2/26/20,0,0,0,0,0
2/27/20,0,0,0,0,0
2/28/20,0,0,0,0,0
2/29/20,0,0,0,0,1
3/1/20,0,0,0,0,1
3/2/20,0,0,0,0,6
3/3/20,0,0,0,0,7
3/4/20,0,0,0,0,11
3/5/20,0,0,0,0,12
3/6/20,0,0,0,0,14
3/7/20,0,0,0,0,17
3/8/20,0,0,0,0,21
3/9/20,0,0,0,0,22
3/10/20,0,0,0,0,28
3/11/20,0,1,0,0,33
3/12/20,0,1,0,0,43
3/13/20,0,2,0,0,51
3/14/20,0,2,0,0,58
3/15/20,0,2,0,0,70
3/16/20,0,2,0,0,97
3/17/20,1,3,0,0,134
3/18/20,3,3,0,0,194
3/19/20,6,4,1,1,266
3/20/20,11,5,2,1,372
3/21/20,15,4,2,1,475
3/22/20,25,7,3,1,603
3/23/20,34,10,4,1,790
3/24/20,46,10,5,1,1033
3/25/20,59,12,6,3,1366
3/26/20,77,20,8,3,1783
3/27/20,92,20,12,4,2305
3/28/20,111,24,16,4,3018
3/29/20,136,27,20,8,3573
3/30/20,159,32,28,9,4280
3/31/20,201,35,29,17,5359
4/1/20,240,58,37,24,6996
4/2/20,324,72,50,30,8556
4/3/20,359,72,60,34,9985
4/4/20,445,86,79,43,11605
4/5/20,486,99,94,45,13227
4/6/20,564,136,125,47,14989
4/7/20,686,150,141,58,17595
4/8/20,819,178,174,63,19747
